,model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,0.9502,0.9629629629629629,accuracy,0.5623764991760254,0.22729921340942383,17.142752170562744,0.007840156555175781,0.0006244182586669922,0.15897488594055176,2,True,14
1,LightGBM,0.9456,0.955955955955956,accuracy,0.0909736156463623,0.016274690628051758,2.3126914501190186,0.0909736156463623,0.016274690628051758,2.3126914501190186,1,True,5
2,XGBoost,0.9448,0.9569569569569569,accuracy,0.2625448703765869,0.031091928482055664,4.748956203460693,0.2625448703765869,0.031091928482055664,4.748956203460693,1,True,11
3,LightGBMLarge,0.9444,0.94994994994995,accuracy,0.2417449951171875,0.03880715370178223,5.44453763961792,0.2417449951171875,0.03880715370178223,5.44453763961792,1,True,13
4,CatBoost,0.9432,0.955955955955956,accuracy,0.016478776931762695,0.0038661956787109375,19.68490505218506,0.016478776931762695,0.0038661956787109375,19.68490505218506,1,True,8
5,RandomForestEntr,0.9384,0.94994994994995,accuracy,0.22453904151916504,0.17695069313049316,1.2447617053985596,0.22453904151916504,0.17695069313049316,1.2447617053985596,1,True,7
6,NeuralNetFastAI,0.9368,0.943943943943944,accuracy,0.06345343589782715,0.013866424560546875,10.726526260375977,0.06345343589782715,0.013866424560546875,10.726526260375977,1,True,3
7,ExtraTreesGini,0.936,0.9469469469469469,accuracy,0.25069594383239746,0.1851203441619873,1.1049532890319824,0.25069594383239746,0.1851203441619873,1.1049532890319824,1,True,9
8,ExtraTreesEntr,0.9358,0.9429429429429429,accuracy,0.27867603302001953,0.18665742874145508,1.1190507411956787,0.27867603302001953,0.18665742874145508,1.1190507411956787,1,True,10
9,RandomForestGini,0.9352,0.944944944944945,accuracy,0.22853803634643555,0.1817164421081543,1.5082948207855225,0.22853803634643555,0.1817164421081543,1.5082948207855225,1,True,6
10,LightGBMXT,0.932,0.9459459459459459,accuracy,0.13362693786621094,0.023108482360839844,2.743687391281128,0.13362693786621094,0.023108482360839844,2.743687391281128,1,True,4
11,NeuralNetTorch,0.9232,0.938938938938939,accuracy,0.017075538635253906,0.009547948837280273,44.42677307128906,0.017075538635253906,0.009547948837280273,44.42677307128906,1,True,12
12,KNeighborsDist,0.221,0.2132132132132132,accuracy,0.020219087600708008,0.020758867263793945,0.030885934829711914,0.020219087600708008,0.020758867263793945,0.030885934829711914,1,True,2
13,KNeighborsUnif,0.218,0.22322322322322322,accuracy,0.020704984664916992,0.019672870635986328,0.0654909610748291,0.020704984664916992,0.019672870635986328,0.0654909610748291,1,True,1
